Name, Mfg, Mfg Part Number, Note, Data sheet
Relay board, Pridopia,  Raspberry Pi - 2803- 8 Relay Board, http://www.pridopia.co.uk/pi-2803-8relay.html, 1555HF42GY.pdf
Enclosure, ,1555HF42, ,1555HF42GY.pdf
J1, Conxall, 54-00082, DGK 839-1412-ND 3.5 mm Headphone Phone Jack, 54-00082.pdf
J2, Conxall ,7282-2SG-300, NMEA out connector, conxall_catalog.pdf
J3,  Conxall,7282-5SG-300, B&G NET Out connector,  conxall_catalog.pdf
J4,  Conxall, 7282-5PG-300, B&G NET In connector,  conxall_catalog.pdf
J5, Conxall, 7282-8PG-300, BG& ACP Remote connector, conxall_catalog.pdf
A1, Fancasee, US-CAB-73, Internal audio cable, https://www.amazon.com/gp/product/B085435S6G


